debugaLWG4:debugv5H6i,initialized,0,,1485811366246
debugaLWG4:debugv5H6i,window_resize,0,"[1024, 768]",1485811366246
debugH882v:debughuQU3,initialized,0,,1486109412588
debugH882v:debughuQU3,window_resize,0,"[1024, 768]",1486109412588
debugH882v:debughuQU3,focus,8485,off,1486109421073
debugH882v:debughuQU3,focus,40910,on,1486109461983
debugcNPJT:debugKocwS,initialized,0,,1486147865239
debugcNPJT:debugKocwS,window_resize,0,"[1024, 768]",1486147865239
debugcNPJT:debugKocwS,focus,15353,off,1486147880592
debugcNPJT:debugKocwS,focus,2709455,on,1486150590047
debugcNPJT:debugKocwS,focus,24347,off,1486150614394
debugcNPJT:debugKocwS,focus,67327,on,1486150681721
debugcNPJT:debugKocwS,focus,2740,off,1486150684461
debugcNPJT:debugKocwS,focus,8520,on,1486150692981
debugcNPJT:debugKocwS,focus,3547,off,1486150696528
debugcNPJT:debugKocwS,focus,21197,on,1486150717725
debugbJdGx:debuglTrWx,initialized,0,,1486416624164
debugbJdGx:debuglTrWx,window_resize,0,"[1024, 768]",1486416624164
debugXODvU:debugrap31,initialized,0,,1487358951384
debugXODvU:debugrap31,window_resize,0,"[1024, 768]",1487358951384
debugXODvU:debugrap31,focus,1969872,off,1487360921256
debugXODvU:debugrap31,focus,5283,on,1487360926539
debugXODvU:debugrap31,focus,4022,off,1487360930561
debugXODvU:debugrap31,focus,3634,on,1487360934195
debugkEwWf:debugHYbCt,initialized,0,,1487963237099
debugkEwWf:debugHYbCt,window_resize,1,"[1024, 768]",1487963237100
debug92Sk3:debugFWcbu,initialized,0,,1487972960687
debug92Sk3:debugFWcbu,window_resize,0,"[1024, 768]",1487972960687
debugJsLc7:debugNJYH6,initialized,0,,1488568851020
debugJsLc7:debugNJYH6,window_resize,0,"[1024, 768]",1488568851020
debugKRvwn:debugg6NZo,initialized,0,,1489174887179
debugKRvwn:debugg6NZo,window_resize,0,"[1024, 768]",1489174887179
debugK3N4c:debugrfw6a,initialized,0,,1489175026758
debugK3N4c:debugrfw6a,window_resize,0,"[1024, 768]",1489175026758
debug7yuaV:debugHZ8Jz,initialized,0,,1489813456212
debug7yuaV:debugHZ8Jz,window_resize,0,"[1024, 768]",1489813456212
debug7yuaV:debugHZ8Jz,focus,3896,off,1489813460108
debug7yuaV:debugHZ8Jz,focus,12339,on,1489813472447
debugNbAA5:debugY9oXD,initialized,0,,1489963362757
debugNbAA5:debugY9oXD,window_resize,0,"[1024, 768]",1489963362757
debugvAKAi:debugxkwZp,initialized,0,,1489963590616
debugvAKAi:debugxkwZp,window_resize,0,"[1024, 768]",1489963590616
debugvAKAi:debugxkwZp,focus,321894,off,1489963912510
debugvAKAi:debugxkwZp,focus,3982,on,1489963916492
debugxdHVE:debugVbJAj,initialized,0,,1489968247801
debugxdHVE:debugVbJAj,window_resize,0,"[1024, 768]",1489968247801
debugxdHVE:debugVbJAj,focus,25001,off,1489968272802
debugxdHVE:debugVbJAj,focus,4636,on,1489968277438
debug6K8fr:debug47xUD,initialized,0,,1489984529578
debug6K8fr:debug47xUD,window_resize,0,"[1440, 900]",1489984529578
debugc5QrB:debugco5dk,initialized,0,,1490164042787
debugc5QrB:debugco5dk,window_resize,0,"[1024, 768]",1490164042787
debugG3T5QR:debugU79QR3,initialized,0,,1490379821984
debugG3T5QR:debugU79QR3,window_resize,0,"[1024, 768]",1490379821984
debugG3T5QR:debugU79QR3,focus,629016,off,1490380451000
debugG3T5QR:debugU79QR3,focus,10812,on,1490380461812
debugG3T5QR:debugU79QR3,focus,7500,off,1490380469312
debugG3T5QR:debugU79QR3,focus,58804,on,1490380528116
debugG3T5QR:debugU79QR3,focus,85045,on,1490380613161
debugG3T5QR:debugU79QR3,focus,1299,off,1490380614460
debugG3T5QR:debugU79QR3,focus,119709,on,1490380734169
debugwwJD8:debugynR49,initialized,0,,1491937385001
debugwwJD8:debugynR49,window_resize,0,"[1024, 768]",1491937385001
debugwwJD8:debugynR49,focus,34810,off,1491937419811
debugwwJD8:debugynR49,focus,3528237,on,1491940948048
debugogWEV:debugHAy6v,initialized,0,,1491949760606
debugogWEV:debugHAy6v,window_resize,0,"[1024, 768]",1491949760606
debugIdyC7:debug6fK0M,initialized,0,,1491950379488
debugIdyC7:debug6fK0M,window_resize,0,"[1024, 768]",1491950379488
debugIdyC7:debug6fK0M,focus,1389061,off,1491951768549
debugIdyC7:debug6fK0M,focus,138059,on,1491951906608
debugIdyC7:debug6fK0M,focus,27022,off,1491951933630
debugIdyC7:debug6fK0M,focus,23888,on,1491951957518
debugIdyC7:debug6fK0M,focus,1724,off,1491951959242
debugIdyC7:debug6fK0M,focus,2143,on,1491951961385
debugIdyC7:debug6fK0M,focus,21603,on,1491951982988
debugOSlI1:debugXFEZM,initialized,0,,1492271275150
debugOSlI1:debugXFEZM,window_resize,0,"[1024, 768]",1492271275150
debuglDWjT:debugrWKRh,initialized,0,,1492271694113
debuglDWjT:debugrWKRh,window_resize,1,"[1024, 384]",1492271694114
debugtOUxL:debug6fv7h,initialized,0,,1492278472554
debugtOUxL:debug6fv7h,window_resize,0,"[1024, 768]",1492278472554
debugtOUxL:debug6fv7h,focus,850394,off,1492279322948
debugtOUxL:debug6fv7h,focus,4335,on,1492279327283
debugQPHTRQ:debug1AF3GK,initialized,0,,1492458601951
debugQPHTRQ:debug1AF3GK,window_resize,0,"[1024, 687]",1492458601951
debugQPHTRQ:debug1AF3GK,focus,77,on,1492458602028
debugQPHTRQ:debug1AF3GK,focus,75261,on,1492458677289
debugQPHTRQ:debug1AF3GK,focus,10340,on,1492458687629
debugQPHTRQ:debug1AF3GK,window_resize,1301,"[1024, 439]",1492458688930
debugQPHTRQ:debug1AF3GK,focus,463,off,1492458689393
debugQPHTRQ:debug1AF3GK,focus,60764,on,1492458750157
debugQPHTRQ:debug1AF3GK,focus,49611,on,1492458799768
